Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	N50	N75	L50	L75	# N's per 100 kbp
22_00034782	346	194	111	92	65	31	5752647	5699256	5496894	5364368	4982354	3714664	229	336944	5724359	95519	38526	19	44	0.00
22_00034821	586	163	86	65	56	36	5533898	5384804	5208790	5065260	4908824	4175618	246	256828	5439205	103394	57070	19	35	0.00
22_00035644	31	20	15	13	11	10	1739619	1733665	1721009	1709043	1684040	1646942	27	284469	1738308	179663	141074	4	7	0.00
22_00035645	46	34	27	27	24	22	4865924	4862090	4847644	4847644	4789260	4707811	35	605831	4862674	247465	157341	7	13	0.00
22_00036754	239	135	91	82	56	35	5361922	5326289	5224170	5160395	4772684	3996042	158	207848	5342772	107264	49327	18	36	0.00
22_00040286	1016	360	261	177	66	11	5265607	5080779	4824196	4216857	2478679	735205	408	83646	5113053	24142	12652	70	144	0.00
22_00041256	1750	356	219	145	46	7	4687679	4318514	3998447	3453661	1847859	484955	423	79769	4368447	21205	12096	61	129	0.00
22_00041481	116	69	52	47	37	22	4030628	4015477	3974345	3937611	3770999	3195206	77	271838	4020044	162159	71657	10	20	0.00
22_00041482	144	103	80	66	48	29	4009870	3994461	3937962	3835584	3553016	2863263	114	285572	4002246	82901	43962	16	32	0.00
22_00041483	113	71	51	46	36	22	4031571	4016371	3967657	3930923	3764419	3224135	82	244891	4023216	157745	86788	11	19	0.00
22_00041484	110	67	46	42	32	20	3932340	3917078	3862128	3832104	3653585	3182477	78	272713	3923786	168248	86788	9	17	0.00
22_00041487	145	43	37	33	33	28	6663218	6625558	6609559	6581082	6581082	6368510	61	953581	6638539	320882	168392	6	14	0.00
22_00041488	108	45	33	30	25	22	6442863	6420213	6392654	6369822	6294495	6191632	59	1124541	6428989	326102	181111	5	11	0.00
22_00041489	86	36	29	27	27	23	6401876	6386418	6374825	6359867	6359867	6218584	42	930737	6390148	305345	242337	6	12	0.00
22_00041490	102	45	36	30	28	26	6762734	6742078	6722513	6684940	6650416	6566265	54	906212	6748153	367931	211681	7	13	0.00
22_00041491	101	42	32	29	27	24	6885767	6864314	6845176	6826739	6783008	6669368	56	731984	6873125	399567	225242	7	13	0.00
22_00041515	30	17	15	12	12	11	1712109	1707166	1702028	1676579	1676579	1643229	19	382496	1708680	154662	104408	4	7	0.00
22_00041518	245	83	57	44	38	31	6870161	6815186	6754733	6659420	6568837	6301073	109	588516	6832346	251825	126624	10	19	0.00
22_00041519	17	12	10	9	9	9	1692042	1689772	1684803	1678636	1678636	1678636	13	322922	1690440	219256	153060	4	6	0.00
22_00042834	35	16	12	11	10	9	1670552	1662447	1654322	1648242	1637597	1599499	21	407374	1666014	190155	131277	3	6	0.00
22_00042835	38	14	11	11	9	8	1678002	1668193	1660437	1660437	1638867	1600769	20	333336	1672109	221077	154809	3	6	0.00
22_00043155	43	24	20	20	18	16	4662623	4656075	4648412	4648412	4612873	4530306	27	710839	4658167	390895	213734	5	9	0.00
22_00043156	38	24	20	18	18	15	4699364	4693722	4682933	4667898	4667898	4558929	26	904648	4695533	410540	228307	4	7	0.00
22_00043234	107	73	50	43	37	26	4054988	4041696	3986112	3936065	3845124	3450340	83	364554	4047927	153797	68099	10	20	0.00
22_00043235	93	68	50	44	34	21	3925107	3915196	3872559	3826927	3669805	3212740	76	292590	3919824	168208	86748	9	17	0.00
22_00043236	100	72	53	46	34	21	3955462	3944564	3896306	3842146	3643542	3152347	79	268603	3948812	162121	86748	10	18	0.00
22_00043238	69	43	37	36	34	24	5651177	5639749	5622832	5613430	5587147	5240787	51	743508	5645406	281317	135423	7	13	0.00
22_00043239	111	53	43	41	40	32	6712724	6691395	6671033	6657557	6641420	6348030	66	607535	6699962	239291	136147	9	18	0.00
22_00043240	95	45	40	40	38	29	6442898	6426146	6414072	6414072	6374726	6032690	52	720576	6430490	250489	155146	8	16	0.00
22_00043389	74	35	26	25	23	16	6311118	6299295	6278855	6273584	6239158	5962053	38	1088052	6301285	591707	281481	4	8	0.00
22_00043515	107	37	29	27	24	21	6366491	6342225	6322132	6310466	6257584	6132317	49	853026	6349881	411148	247380	6	11	0.00
22_00043554	129	91	64	54	40	31	6013305	5998858	5932781	5865657	5629698	5303497	100	371239	6005560	201207	92911	11	21	0.00
22_00043556	67	35	26	23	21	19	6356238	6344760	6323252	6305959	6258050	6185344	41	783819	6348833	461597	264781	6	10	0.00
22_00043557	114	64	51	49	43	33	6969433	6948030	6922278	6908705	6802609	6476089	79	457232	6958659	225900	144668	12	21	0.00
22_00043558	111	55	44	37	34	30	6814841	6796335	6778565	6728461	6678457	6515042	61	582554	6800174	242662	186160	9	17	0.00
22_00043559	45	32	29	27	23	16	3888486	3883468	3875603	3860493	3788050	3536359	36	493053	3885821	342907	173316	5	9	0.00
22_00043560	56	32	29	27	22	16	3893275	3885781	3877876	3862726	3776317	3568474	36	585918	3888134	446059	173087	4	8	0.00
22_00043564	1517	253	167	132	63	19	4635723	4297160	4093619	3837078	2694612	1149194	329	90179	4351179	31815	17101	45	91	0.00
22_00043565	644	249	167	125	60	18	4424064	4296773	4104122	3798053	2697942	1230914	313	127065	4342338	32746	18442	43	86	0.00
22_00043566	214	131	92	79	64	33	4385499	4350835	4266514	4177505	3918309	2844894	155	227170	4367268	64950	37136	22	44	0.00
22_00043567	1946	323	198	150	54	8	4734827	4308786	4002138	3669240	2108781	547534	403	98853	4367346	23505	14116	58	118	0.00
22_00043568	285	124	89	80	61	32	4412147	4355022	4268769	4205091	3855143	2809643	150	192567	4373846	65953	37714	22	43	0.00
22_00043569	162	50	39	37	34	29	6417994	6379086	6356506	6344414	6284251	6096934	70	498093	6393063	262998	181965	10	17	0.00
22_00043902	186	136	105	88	60	34	5457133	5432858	5361885	5239871	4788958	3852430	159	301048	5448650	87457	46414	18	39	0.00
22_00044244	118	64	47	43	37	28	5086613	5067354	5024223	4999532	4892154	4537015	74	628365	5073759	214148	87864	8	17	0.00
22_00044595	174	86	67	60	40	21	2974729	2949069	2911331	2861720	2555153	1879067	94	241242	2954735	59046	36350	14	29	0.00
22_00044713	54	43	36	34	30	21	3113499	3109001	3093243	3077847	3004460	2675289	45	366861	3110647	126336	77526	8	16	0.00
22_00044845	77	22	17	17	16	14	4883904	4867832	4858184	4858184	4843036	4784442	25	962940	4870154	512171	235177	4	7	0.00
22_00044852	515	147	81	66	51	32	5566879	5434199	5293654	5193108	4943609	4245097	224	280412	5485163	144599	53639	13	30	0.00
22_00045058	168	131	93	83	52	34	6646864	6628403	6534911	6461455	5936909	5320357	146	330406	6639701	197052	65570	14	29	0.00
22_00045119	113	68	50	44	34	20	3861017	3846939	3801261	3757875	3591789	3065286	75	292867	3850955	162517	86788	9	17	0.00
22_00045122	106	60	44	39	33	21	3918945	3904123	3868898	3829978	3730856	3278805	68	292630	3908775	168248	86788	9	17	0.00
22_00045123	110	66	52	46	36	24	3995831	3980789	3950775	3901162	3726819	3275143	76	336014	3986867	160251	67868	10	20	0.00
22_00045124	113	62	47	41	33	21	3934428	3917459	3883833	3838021	3704592	3252424	71	292837	3922935	168248	86788	9	17	0.00
22_00046139	53	24	18	14	10	10	1706535	1693799	1679664	1651160	1600546	1600546	32	304676	1700040	175588	103731	4	7	0.00
22_00046709	24	18	14	14	12	9	1688970	1686456	1675183	1675183	1644892	1517260	19	410290	1687437	154230	118788	4	7	0.00
22_00046725	106	66	53	49	40	25	3922337	3907849	3878071	3850472	3661901	3103066	75	326543	3914176	114362	60516	12	22	0.00
22_00046726	110	69	55	49	40	23	3971671	3957354	3925181	3878425	3714613	3096255	77	315664	3962628	162160	64940	10	21	0.00
22_00046727	102	64	49	43	35	21	4032048	4018670	3982384	3940357	3810582	3266379	72	345242	4023849	166510	86788	9	17	0.00
22_00046728	130	77	57	50	38	22	4034048	4016163	3973036	3920771	3734820	3168499	86	335898	4021977	161614	67911	10	20	0.00
22_00046729	89	57	46	42	35	25	3919907	3909498	3882513	3855026	3712179	3346034	62	311323	3912816	123951	79454	10	19	0.00
22_00046730	138	87	62	59	48	26	3996128	3978743	3916375	3896198	3725874	2882992	94	233049	3983438	110020	48061	12	29	0.00
22_00046734	117	36	30	26	25	21	6277437	6251127	6241589	6215777	6201130	6057933	46	1102731	6257900	395741	238556	6	11	0.00
22_00046735	115	56	41	31	30	27	6892028	6871781	6836828	6768968	6758224	6642440	63	693922	6876758	368496	204455	7	14	0.00
22_00046736	66	26	19	19	18	16	6395460	6383606	6366681	6366681	6349984	6271770	28	1698662	6384932	407835	351260	4	8	0.00
22_00046738	194	55	39	34	28	23	6817327	6764279	6729093	6688882	6598993	6414858	89	1032473	6788723	328277	226276	6	13	0.00
22_00046895	62	27	17	17	16	11	6331963	6320898	6297768	6297768	6282078	6107219	32	1554357	6324375	799517	487322	3	5	0.00
22_00048560	97	57	45	41	34	25	3972125	3959215	3932681	3899241	3785591	3463463	63	315937	3963484	160586	72903	9	18	0.00
22_00048561	125	70	47	41	33	21	4039674	4020544	3969064	3923950	3787310	3313608	80	292866	4026780	168248	86788	9	17	0.00
22_00048563	142	94	68	59	50	26	4005678	3989617	3925234	3870238	3720871	2811838	101	231366	3993967	78457	48018	14	30	0.00
22_00048564	107	68	50	47	35	24	3926570	3912410	3867132	3842196	3644768	3235931	77	254440	3918134	157614	76959	10	20	0.00
22_00048565	198	115	77	65	52	37	5266480	5238789	5149832	5063605	4882915	4287950	127	219480	5247434	112655	65776	16	32	0.00
22_00048566	144	73	60	55	52	33	6262207	6237045	6211587	6178284	6122081	5403004	86	498345	6245386	209691	87546	12	23	0.00
22_00048567	149	65	49	44	39	34	6653595	6623847	6583154	6546650	6484434	6301550	82	620418	6635279	201650	132069	9	19	0.00
22_00048568	65	41	34	33	29	25	6731859	6723414	6706626	6701309	6636187	6472241	44	625731	6725279	413305	251362	7	12	0.00
22_00048569	98	42	36	34	31	21	6363144	6340566	6323109	6312859	6271127	5897415	61	849989	6352837	408158	197923	6	11	0.00
22_00048570	136	52	40	39	36	30	6426374	6398079	6369624	6359707	6298918	6060174	68	546782	6407799	237551	162286	9	17	0.00
22_00048571	329	109	65	54	45	38	7015651	6939853	6843172	6771757	6630957	6361299	144	642045	6964367	201142	96176	10	23	0.00
22_00048572	112	46	38	35	33	24	6928708	6906831	6883739	6862388	6831460	6525728	54	581817	6912482	411205	224951	7	13	0.00
22_00048573	130	68	55	50	44	35	6878835	6853028	6822817	6789125	6691938	6396709	88	626289	6866470	231700	132566	9	19	0.00
22_00048582	33	18	12	9	8	8	1665951	1658019	1645255	1623217	1609646	1609646	25	578719	1663062	295468	122661	2	5	0.00
22_00048693	55	25	22	21	21	15	4978676	4966921	4960089	4953798	4953798	4724566	34	741242	4972852	401937	298526	5	8	0.00
22_00048694	26	16	15	13	12	11	1706555	1702211	1699959	1687294	1672190	1627515	20	371528	1704616	155079	104744	4	8	0.00
22_00048943	132	78	57	52	41	30	4042584	4025314	3973135	3936979	3759316	3359471	85	236139	4029446	113688	65631	12	25	0.00
22_00048944	131	76	50	41	32	21	4038457	4020831	3961245	3895072	3751149	3336663	83	292806	4024853	168248	86788	9	17	0.00
22_00048945	120	68	50	42	37	28	4035708	4016769	3973108	3904697	3816654	3512235	82	285947	4026062	128110	67889	11	21	0.00
22_00048946	130	73	53	47	34	19	3966790	3949091	3900664	3856657	3644347	3095581	82	336219	3954187	168248	86788	9	17	0.00
22_00049493	72	51	38	29	18	11	1566379	1556424	1524300	1459419	1284623	1066167	60	163677	1562656	84600	30800	7	14	0.00
22_00049496	108	66	50	44	36	22	3861223	3846984	3809078	3766989	3622417	3076173	74	292626	3852036	140841	65631	10	19	0.00
22_00049498	122	70	51	43	38	28	4035936	4018107	3972180	3902685	3814604	3475555	80	286487	4024964	128110	67889	11	21	0.00
22_00049499	169	76	47	40	31	25	5726284	5692327	5609194	5562836	5397792	5193146	98	854989	5707797	186961	124783	6	16	0.00
22_00049501	80	36	31	30	29	25	5476988	5461025	5449527	5441213	5426862	5271713	44	977261	5466578	266101	147391	7	14	0.00
22_00049503	79	49	40	36	32	27	6794340	6784457	6763805	6740439	6663891	6456999	51	723179	6785873	265391	167066	8	15	0.00
22_00049505	168	70	47	42	34	27	6848786	6811874	6759317	6724642	6616251	6346467	92	591533	6826949	315309	173100	8	15	0.00
22_00049506	81	36	29	27	25	23	4910208	4897946	4888429	4875881	4828107	4745212	37	894309	4898634	308775	135470	5	11	0.00
22_00049763	173	134	106	88	55	24	3805627	3789533	3731713	3602052	3061719	1944838	147	147692	3798514	50591	29369	24	48	0.00
22_00049858	93	54	48	41	36	24	3938236	3924596	3914640	3861310	3782259	3355337	61	351058	3929576	132742	78208	9	18	0.00
22_00049859	106	63	48	42	34	21	4043883	4028929	3991300	3946293	3820493	3336308	71	348508	4034245	168248	86788	9	17	0.00
22_00049862	121	43	36	34	31	27	6554200	6527948	6511414	6494578	6449611	6306450	55	806800	6536486	275504	166444	8	15	0.00
22_00049863	149	72	48	44	40	31	7076652	7047828	6997653	6967879	6897297	6584211	87	537868	7059914	286941	141011	9	19	0.00
22_00050224	76	26	17	15	14	14	6522822	6503890	6481879	6464900	6448943	6448943	37	1332435	6512021	830080	320521	3	7	0.00
230865_H	180	90	68	57	42	30	5720273	5687327	5635579	5556578	5310240	4889390	109	556368	5700006	167202	98222	12	23	0.00
249820_H	139	68	36	31	27	19	5552917	5525914	5456661	5426599	5360291	5058655	83	1055401	5535960	323504	190314	5	11	0.00
249824_H	124	49	37	34	31	22	6347603	6321476	6291325	6268471	6220929	5904621	64	625398	6331335	357877	220022	7	12	0.00
249825_H	96	55	37	32	29	21	5492184	5477002	5440070	5406632	5354106	5090184	65	851430	5483804	304141	147391	6	12	0.00
249833_H	160	84	56	49	40	31	5635171	5606714	5536007	5484955	5336711	5041936	102	501354	5619247	200058	98226	10	21	0.00
249838_H	117	62	36	34	27	19	5494301	5473767	5422937	5409910	5290073	5008106	75	977139	5482213	329587	157411	6	11	0.00
249842_2	190	80	46	44	34	27	5686394	5643588	5574434	5558212	5413262	5188229	107	591918	5662773	230977	144157	9	17	0.00
249842_H2	176	70	39	38	31	24	5686806	5646292	5585143	5578209	5476280	5236731	94	569502	5663859	272899	152848	8	15	0.00
249842_H	167	89	64	55	45	35	5678169	5652432	5600552	5533712	5378854	5040632	100	394486	5660022	158640	95784	12	24	0.00
249844_H	121	64	44	39	31	24	5490854	5469596	5417011	5385099	5240468	4965985	76	975623	5477683	294358	105569	7	15	0.00
249847_H	115	63	32	28	22	18	5498177	5478411	5406892	5381832	5284835	5139950	75	1018821	5486319	366508	217882	5	10	0.00
C6472DDCS	82	52	44	40	33	27	4862862	4852367	4836747	4808749	4704563	4497132	58	459351	4856617	190708	104567	8	17	0.00
C6472KL	74	21	20	18	18	17	4881514	4864255	4862492	4847239	4847239	4810539	28	659070	4869094	439663	197522	5	9	0.00
CapA	104	65	50	46	41	34	4387926	4370709	4337644	4312193	4236136	3973737	77	295754	4379775	123225	81807	14	24	0.00
CapB	103	70	52	50	43	34	4382734	4366594	4320060	4307397	4185310	3852939	86	298372	4377689	109344	70291	14	25	0.00
CapC	101	61	44	43	36	26	4298805	4283506	4245951	4237018	4107244	3745602	72	472809	4291332	184477	72137	9	18	0.00
CapD	99	64	42	40	35	31	4391011	4375628	4326663	4312251	4235514	4075070	75	294070	4383357	136261	101854	12	21	0.00
CDC03_98CL	316	98	57	46	40	27	5355437	5278372	5186317	5103434	5011690	4500118	138	505208	5305352	146616	91185	9	20	0.00
CDC03_98sm	301	92	52	42	37	28	5363973	5284277	5191471	5113914	5037328	4707758	137	505240	5316044	202185	92291	8	19	0.00
D5480DS	83	64	48	35	18	12	1641089	1632838	1594742	1503190	1194028	965408	70	106628	1636762	65057	23661	10	20	0.00
D5480KL	31	22	16	16	13	11	1651710	1647712	1633576	1633576	1569366	1486539	26	236189	1650211	151378	86166	5	8	0.00
ECP19_198ag	368	134	82	71	52	28	5426270	5338613	5209671	5129312	4845846	3923645	182	375986	5372538	113897	45504	15	31	0.00
ECP19_2498ag	429	199	114	91	65	32	5522584	5433648	5245840	5064052	4633426	3464571	251	204100	5469072	89067	36030	23	48	0.00
ECP19_598ag	368	103	62	53	42	34	5549145	5447005	5354013	5283734	5121994	4835428	159	384640	5487762	148372	89524	11	23	0.00
ECP19_798ag	314	96	51	45	40	27	5423502	5341987	5238869	5189902	5116240	4627392	137	378262	5370916	181634	92291	10	20	0.00
EP21_3018AG	552	164	95	74	55	34	5664847	5526498	5376635	5225268	4927541	4162104	241	210528	5579818	114161	48579	19	35	0.00
EP21_5149AG	451	137	85	70	51	34	5499641	5381783	5264086	5159376	4850112	4213587	215	327364	5433030	132268	52536	14	32	0.00
EP21_6898AG	445	131	87	65	49	33	5418259	5304444	5198057	5035902	4810612	4254292	196	346419	5346496	105482	65913	14	29	0.00
F5828KL	72	29	24	23	22	19	5080494	5066898	5060088	5053525	5040859	4935785	35	708755	5070379	483265	236526	5	8	0.00
H8394DDCS	34	19	15	13	13	12	2872539	2867871	2859291	2849016	2849016	2804421	19	617897	2867871	285646	224587	4	7	0.00
H8394KL	21	11	8	8	8	8	2880584	2877417	2869788	2869788	2869788	2869788	13	1349557	2878544	417224	224810	2	4	0.00
K3430DDCS	72	43	35	31	29	22	5055413	5043985	5025696	4994207	4961158	4714807	50	708244	5048476	457243	142813	5	12	0.00
PNUSAE014301	423	147	79	65	45	29	5264968	5152090	4990034	4887844	4585600	4027980	218	406515	5202457	123000	68811	14	27	0.00
PNUSAE014303	519	138	82	68	49	35	5558815	5403979	5278907	5178810	4909491	4351398	235	317864	5474176	127190	59323	15	31	0.00
PNUSAE014304	452	148	85	74	55	35	5504642	5386916	5247537	5166963	4887632	4193595	215	249072	5434330	114262	57102	17	33	0.00
PNUSAE014305	104	62	44	42	37	31	5116797	5100932	5070126	5056178	4958045	4735221	70	403283	5106830	180398	103739	10	20	0.00
PNUSAE014306	495	158	86	68	53	36	5664482	5531998	5383661	5256778	5057031	4466179	238	286470	5588659	122989	69154	16	31	0.00
PNUSAE014309	212	115	76	59	44	32	4983031	4947675	4857215	4730455	4467898	4048872	132	240985	4959522	120304	65489	15	27	0.00
PNUSAE014310	303	127	84	65	49	31	5590576	5522267	5432053	5283979	5021104	4394458	163	327602	5547696	151764	60822	13	27	0.00
PNUSAE014311	207	90	68	64	46	31	5369130	5325528	5281444	5257936	4978475	4422292	114	346717	5342717	162441	68318	12	25	0.00
PNUSAE014312a	93	43	37	36	34	28	4977160	4958917	4950967	4943337	4913022	4659440	51	679456	4964982	228353	101529	7	16	0.00
PNUSAE014312b	219	150	118	101	61	32	4833618	4806662	4733299	4605765	3896769	2812336	167	160594	4818333	63527	35031	25	52	0.00
PNUSAE014312	219	150	118	101	61	32	4833618	4806662	4733299	4605765	3896769	2812336	167	160594	4818333	63527	35031	25	52	0.00
PNUSAE014313	512	288	181	127	58	21	4694179	4609273	4335317	3937110	2853406	1551586	344	165518	4648441	34725	14572	41	91	0.00
PNUSAE014314	411	131	79	57	46	32	5299389	5194794	5080131	4930779	4767062	4289971	189	361452	5233210	122497	68146	13	27	0.00
PNUSAE014315	586	197	104	81	66	38	5773571	5623425	5405018	5238027	4996142	3985485	286	296126	5683043	85298	44687	22	44	0.00
PNUSAE014834	492	149	87	67	50	37	5578934	5447665	5303906	5166490	4912287	4465348	225	278988	5500669	111653	68805	17	31	0.00
PNUSAE014988	448	259	177	142	59	21	4617486	4542909	4353252	4095148	2722374	1401457	305	107718	4576120	32845	16851	44	94	0.00
PNUSAE014989	146	71	54	49	38	27	5068453	5039658	5007937	4974457	4808182	4418638	87	491162	5051155	177658	104493	10	19	0.00
PNUSAE015218	321	100	60	50	41	27	5376926	5293615	5200481	5120634	4987395	4485580	146	674157	5325362	184413	87532	9	21	0.00
PNUSAE015219	529	204	112	88	58	32	5461582	5333846	5130542	4950885	4467423	3567399	281	285044	5387779	83616	35781	20	44	0.00
PNUSAE016746	309	103	68	54	44	32	5246916	5170016	5092072	4996077	4841963	4417015	143	282904	5197398	158802	75981	12	24	0.00
PNUSAE016747	351	101	58	47	37	26	5496276	5400868	5309686	5228561	5065852	4681309	156	674182	5440722	189898	100054	9	19	0.00
PNUSAE017295	524	312	206	148	60	15	4847453	4765223	4490213	4046405	2611165	1042001	360	108359	4800379	27363	14625	52	112	0.00
PNUSAE017382	336	132	93	71	53	31	5082678	5008615	4910399	4758546	4489049	3763799	172	277697	5035127	108887	46290	15	32	0.00
PNUSAE017707	379	114	60	49	39	27	5488581	5388180	5277890	5185524	5041956	4598343	167	674168	5426008	188562	87533	9	20	0.00
PNUSAE018084c	353	111	68	55	45	32	5236995	5144474	5053424	4962518	4808290	4359445	165	380397	5180916	114661	77876	12	25	0.00
PNUSAE018085	500	287	195	145	58	17	4591695	4509853	4260121	3886908	2499906	1078020	333	88338	4542622	28966	14621	50	106	0.00
PNUSAE018345	377	132	80	61	51	32	5132870	5037958	4916764	4777660	4623003	3930812	190	377004	5076795	104836	60016	15	30	0.00
PNUSAE018491	514	261	177	116	61	25	4635864	4548533	4351790	3904261	3031347	1826795	303	127143	4578035	34715	16832	37	81	0.00
PNUSAE018492	472	280	193	141	61	16	4657619	4584373	4358111	3968654	2704095	1103425	323	107722	4615425	31287	15221	47	100	0.00
PNUSAE018493	358	131	78	63	51	31	5439471	5351365	5227011	5115714	4917796	4206095	180	341189	5387347	135939	58559	14	29	0.00
PNUSAE019069	549	278	180	119	60	21	4556535	4462039	4213355	3759881	2831495	1435382	323	137204	4495029	35046	14799	41	88	0.00
PNUSAE019284	475	277	195	145	59	18	4726568	4650320	4435274	4056530	2673434	1226856	321	108359	4682145	29804	15663	47	102	0.00
PNUSAE019649	508	290	191	140	61	20	4773810	4688724	4413167	4028342	2754134	1314792	340	99000	4724887	30412	15493	48	101	0.00
PNUSAE019936	386	115	64	50	40	27	5496169	5391437	5285569	5182286	5024489	4572860	175	471984	5434029	188562	92289	10	20	0.00
PNUSAE020317	540	334	206	146	60	17	4785004	4704005	4358567	3905163	2531362	1053112	383	80536	4739450	26410	13899	54	117	0.00
PNUSAE020881	132	74	53	47	39	31	5401089	5376660	5334955	5290596	5175266	4906545	91	449084	5388212	163164	111709	11	21	0.00
PNUSAE020882	539	269	178	127	62	20	4632174	4536984	4320532	3949797	2919985	1398132	319	137644	4572116	35275	16067	42	87	0.00
PNUSAE020883	441	248	177	120	64	20	4457016	4384329	4214886	3801366	2913614	1378039	292	100448	4416146	33924	17431	41	83	0.00
PNUSAE020884	433	244	175	119	59	20	4447505	4376775	4217894	3811503	2818781	1446623	287	127191	4407181	33799	19519	39	82	0.00
PNUSAE020885	517	312	203	148	57	17	4641473	4562079	4261737	3849186	2409821	1061756	357	88340	4595214	25752	13899	53	114	0.00
PNUSAE021117	485	146	86	66	52	37	5439758	5319040	5173299	5036032	4827994	4292482	200	242466	5356636	126866	58501	17	32	0.00
PNUSAE022721	549	286	184	126	58	23	4671143	4573639	4321154	3904084	2820192	1596191	339	137297	4612455	34724	15668	41	90	0.00
PNUSAE022881	93	43	33	31	23	20	5023155	5002083	4986021	4972203	4840250	4744396	56	592617	5011848	294637	157223	6	12	0.00
PNUSAE022920	477	277	185	123	63	19	4604458	4531543	4313033	3865615	2894824	1360478	316	127142	4559785	32891	15667	43	89	0.00
PNUSAE023215	529	277	186	125	58	19	4526438	4435716	4211563	3770134	2672093	1292432	328	89729	4471954	32387	15176	43	93	0.00
PNUSAE023318	610	346	211	148	59	16	4838218	4737323	4357324	3886587	2485441	1013411	404	88340	4778155	25389	12293	56	121	0.00
PNUSAE023563	531	279	179	116	56	20	4532449	4435536	4168034	3711177	2717179	1460311	336	142496	4477775	34539	15340	40	89	0.00
PNUSAE023564	541	271	187	120	61	19	4535787	4438986	4229766	3741805	2791169	1301639	322	89951	4475836	33521	15100	43	90	0.00
PNUSAE023565	548	323	208	147	57	12	4757193	4664127	4350100	3895692	2437080	851111	386	108359	4710151	25905	14117	54	116	0.00
PNUSAE023566	508	309	204	146	57	17	4668752	4591647	4299311	3861821	2440411	1082073	355	88341	4624688	25905	14015	52	113	0.00
PNUSAE023723	489	308	203	147	59	14	4639943	4568866	4290502	3876053	2471829	891136	349	88339	4599228	27654	14159	53	112	0.00
TB_Control	116	75	56	48	42	33	4376121	4357612	4314813	4255391	4145063	3795022	89	234243	4367878	125427	66340	13	25	0.00
